league,season,team,player,nation_,pos_,age_,born_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ENG-Premier League,2526,Manchester Utd,Matheus Cunha,BRA,"MF,FW",26-324,1999,29,25,2159,24.0,7,2,9,7,0,0,2,0,0.29,0.08,0.38,0.29,0.38
ENG-Premier League,2526,Manchester Utd,Matthijs de Ligt,NED,DF,26-247,1999,13,13,1170,13.0,1,0,1,1,0,0,0,0,0.08,0.0,0.08,0.08,0.08
ENG-Premier League,2526,Manchester Utd,Noussair Mazraoui,MAR,"MF,DF",28-153,1997,16,8,687,7.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Manchester Utd,Patrick Dorgu,DEN,MF,21-172,2004,22,14,1335,14.8,3,3,6,3,0,0,5,0,0.2,0.2,0.4,0.2,0.4
ENG-Premier League,2526,Manchester Utd,Senne Lammens,BEL,GK,23-283,2002,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Manchester Utd,Shea Lacey,ENG,FW,19-002,2007,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Manchester Utd,Tyler Fletcher,SCO,MF,19-028,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Manchester Utd,Tyler Fredricson,ENG,DF,21-052,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Manchester Utd,Tyrell Malacia,NED,DF,26-242,1999,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Newcastle United,Aaron Ramsdale,ENG,GK,27-337,1998,11,10,914,10.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
